Crash_ID,Damaged_Property
16934659,GUARD RAIL DAMAGE
16934663,ONCOR TELEPHONE POLE
16934663,BARBED WIRE FENCE
16934679,BAY DOOR
16934689,LIGHT POLE
16934696,LAMP POLE (SCRATCHES)#421429
16934711,6 TRAFFIC SIGNS
16934755,EST. 10 FT OF GUARD RAIL DAMAGE
16934765,DAMAGE TO HEDGE LINE
16934780,WALL
16934782,ONCOR LIGHT POLE
16934796,30 FT OR BARBED WIRE FENCE
16934796,PLASTIC FIBER WIRE MARKER POLE
16934797,ROADWAY SIGN
16934828,POLES ON CENTER BARRIER
16934833,FRONT FENCE OF RESIDENCE WORTH >$1000
16934838,CENTER CABLE
16934877,UTILITY POLE
16934908,GUARD RAIL
16934918,FENCE
16934933,CABLE WIRES
16934933,HOUSE SIDING/SIDE PANEL
16934962,POLE
16934998,SMALL ROCK WALL ON DRIVE THRU AND POLE
16935034,ONCOR PHONE POLE
16935045,MAIL BOX
16935079,UTILITY POLE
16935079,BRIDGE GUARDRAIL
16935090,AIR COMPRESSOR
16935092,GUARD RAIL
16935099,VAPOR LIGHT POLE
16935120,TXDOT LOOP 289 SIGN/ROUTE MARKER SIGN
16935141,MAILBOX BRICK DAMAGE
16935142,353 EXIT SIGN
16935143,TRAILER
16935177,FRONT DOOR AND LARGE PLATE GLASS WINDOW
16935199,METAL SIGN POLE
16935230,WOOD CEDAR FENCE
16935239,50 TO 75 FT OF BRICK AND METAL FENCING
16935239,50 TO 75 FT OF  WIRE & METAL FENCING
16935254,DAMAGED WOOD FENCE
16935254,DAMAGED BRICK RETAINING WALL
16935261,BRICK AND WROUGHT IRON FENCE
16935313,TIRE MARKS IN FRONT YARD
16935314,UTILITY POLE
16935314,STOP SIGN AND ONE WAY SIGN
16935316,LIGHT POLE
16935357,CBS ELECTRICAL POLE
16935370,WOOD POLE
16935370,LANDSCAPING
16935391,"FIXTURES AND FURNITURES ON PATIO $15,000"
16935401,STREET SIGN
16935431,TREE
16935454,PLASTIC UTILITY BOX
16935454,2 METAL POLES
16935477,TREE
16935483,TREE KNOCKED OVER
16935485,X2 ARROW SIGNS
16935488,FENCE LINE
16935496,DAMAGE TO ON RAMP IH 35 N SIGN
16935498,STOP SIGN
16935532,SPEED LIMIT SIGN
16935540,GUARDRAIL
16935563,APPROX. 150 FT. OF BARB WIRE FENCE
16935581,POLE
16935607,CREPE MYRTLES
16935616,GUARDRAIL
16935622,"HOUSE, FENCE, AND TREE"
16935634,YIELD SIGN-RAILROAD CROSSING SIGN
16935674,BRICK RETAINING WALL
16935690,TREE
16935716,GATE + 2 TREES
16935724,FENCE
16935726,DESTROYED CRASH BARRIER
16935737,PALM TREE
16935771,METAL PIPE FENCE AND POSTS
16935776,STEEL CULVERT
16935776,FENCE
16935791,MAILBOX AND LANDSCAPE
16935798,36 FOOT OF GUARD RAIL
16935803,NONE
16935816,STREET/STOP SIGN
16935830,FIRE HYDRANT
16935839,WOOD LIGHT POLE
16935934,2 HIGHWAY SIGNS / POLES
16935947,MAILBOXES
16935950,GUARD RAIL
16935955,STEEL PIPE FENCE
16935961,SIGN
16935963,GUARD RAIL
16936021,STOP SIGN
16936034,BUILDING DAMAGE
16936034,60 FT CHAIN LINK FENCE AND SIGN
16936057,AEP TELEPHONE POLE
16936057,FENCE
16936063,PRIVACY FENCE
16936188,CHAIN LINK FENCE (APPROXIMATELY 150')
16936204,GUARDRAIL
16936214,DAMAGE TO FENCE IN THE SOUTHWEST CORNER
16936217,LANDSCAPE & BUILDING
16936217,SPEED LIMIT SIGN AND POLE
16936223,SIGNAL LIGHT POLE
16936226,LIGHT POLE
16936246,CONCRETE CURB
16936251,DAMAGED FENCE LINE
16936251,DAMAGED FENCE LINE
16936267,CONCRETE DIVIDER
16936274,CONCRETE DIVIDER
16936300,POWER POLE
16936301,NEW BRAUNFELS CITY POLE #
16936304,BARBED WIRE FENCE
16936347,WODDEN FENCE DAMAGE
16936347,TXDOT SIGN
16936351,SAFETY CABLES AND POSTS
16936352,UTILITY POLE
16936354,PROTECTIVE CABLES AND POST
16936357,IMPACT ATTEUATOR
16936360,UTILITY POLE #77808 BROKEN IN HALF
16936372,WOODEN FENCE
16936397,"STOP SIGN, POLE AND STREET SIGN"
16936408,GUARD RAIL
16936431,DAMAGE TO 6 TO 7 DOT CABLE BARRIER
16936448,"TUBULAR PIPE, AND SIGNAGE"
16936448,UTILITY POLE AND POWER LINE
16936452,BLACK COW
16936466,TREE
16936483,TELEPHONE POLE
16936491,GUARD RAIL
16936501,SIGN
16936547,RESIDENTIAL STREET LIGHT POLE #264336
16936547,MAILBOX W/BRICKS EXTERIOR
16936558,VOYAGE CELL PHONE REPAIR FRONT ENTRANCE
16936558,TEXAS MIDLAND REALTY FRONT ENTRANCE
16936562,DAMAGED LIGHT POLE
16936564,LAWN
16936568,SCRATCHES AND BLACK TIRE MARKS TO MEDIAN
16936569,MAIL BOX
16936572,FENCE AND POLE DAMAGE
16936585,GARAGE DOOR
16936594,SPEED LIMIT SIGN
16936596,FENCE- BARBED WIRE
16936617,GAS METER
16936626,WOODEN ELECTRIC POLE
16936639,DAMAGED STEEL FENCE
16936645,INTERSECTION SIGNAL LIGHT POLE SCRATCHED
16936678,FRONT DOOR/BUILDING WALL
16936695,SBC POLE # F3409
16936695,BRICK MAILBOX
16936695,ALUMINUM MAILBOX
16936695,ALUMINUM MAILBOX
16936698,CHAIN-LINKED FENCE
16936701,15FT OF IRON FENCING
16936779,CYCLONE TEMPORARY CONTRUCTION FENCE
16936802,WARNING SIGN
16936802,BRICK FENCE
16936805,HIGHWAY EXIT SIGN
16936831,ELECTRIC POLE
16936838,30 YARDS OF DAMAGED FENCE
16936839,LIGHT POLE
16936839,DO NOT ENTER SIGN
16936860,FIRE EXIT DOOR TO WAL-MART
16936880,APPROXIMATELY 10FT OF DAMAGED WIRE FENCE
16936920,BRICK MAILBOX
16937001,CONCRETE BARRIER
16937011,SECURITY GATE CALL BOX
16937019,WOODEN POLE (3')
16937021,APPROX. 30FT OF GUARDRAIL DAMAGE
16937086,BUILDING
16937089,CONCRETE MAIL BOX
16937107,UTILITY POLE
16937108,LIGHT POLE
16937120,CONCRETE BARRICADE
16937121,GUARDRAIL
16937136,100 FEET OF IRON FENCE KNOCKED DOWN
16937162,GUARDRAIL DAMAGE
16937164,CRASH ATTENUATOR
16937168,TXDOT WATER BARRIER
16937173,FRONT STEPS
16937176,HAPPY HOMES  APARTMENT BUILDING 1
16937179,BROKEN WOODEN FENCE
16937180,GUARDRAIL DAMAGE
16937185,STOP SIGN FLASHING RED LIGHT
16937200,DAMAGED TREES AND WATER LINE
16937207,DAMAGED FENCE POST
16937207,DAMAGED FENCE
16937218,DAMAGE TO FENCE
16937221,ELECTRIC POWER POLE
16937221,STOP SIGN
16937223,OAK TREE
16937232,GUARDRAIL
16937236,SCUFF/SCRAPES TO INSIDE WALL
16937274,FENCE AND GAZBO
16937274,SPEED LIMIT SIGN
16937286,RAILROAD ARM
16937299,CHAIN LINK FENCE
16937303,TELEPHONE POLE
16937315,FENCE DAMAGED
16937321,STREET SIGN OF NE 20TH AND E CHERRY ST
16937326,APT  EXIT GATE
16937327,APARTMENT BUILDING
16937332,CHAIN LINK FENCE
16937332,TRAFFIC CONTROL BOX
16937352,SIDE WALL
16937362,STREET LIGHT POLE
16937380,FIBER OPTIC LINES
16937381,MEDIUM SIZED TREE
16937382,APPROX 10 RETENTION CABLE SUPPORTS
16937402,PLANT
16937402,SPRINKLER HEAD
16937407,GUARDRAIL
16937413,CONCRETE BARRIER (NOT DAMAGED)
16937421,LARGE BRICK SIGN STRUCTURE
16937427,MAIL BOX AND BRICH STAND
16937437,WALL
16937455,TRAFFIC LIGHT
16937472,SIGNAL LIGHT $10K-$15K
